 CMS Certification Number,Facility Name,Address,City,County,State,Zip,Telephone,Patients who reported that staff definitely gave care in a professional way and the facility was clean,Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean,Patients who reported that staff did not give care in a professional way or the facility was not clean,Facilities and staff linear mean score,Patients who reported that staff definitely communicated about what to expect during and after the procedure,Patients who reported that staff somewhat communicated about what to expect during and after the procedure,Patients who reported that staff did not communicate about what to expect during and after the procedure,Communication about your procedure linear mean score,Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest),Patients’ rating of the facility linear mean score,Patients who reported YES they would DEFINITELY recommend the facility to family or friends,Patients who reported PROBABLY YES they would recommend the facility to family or friends,"Patients who reported NO, they would not recommend the facility to family or friends",Patients recommending the facility linear mean score,Footnote,Number of Sampled Patients,Number of Completed Surveys,Survey Response Rate Percent,Measure Start Date,Measure End Date
390163,ACMH HOSPITAL,ONE NOLTE DRIVE,KITTANNING,ARMSTRONG,PA,16201,7245438500,,,,,,,,,,,,,,,,,4,,,,,
390168,BUTLER MEMORIAL HOSPITAL,ONE HOSPITAL WAY,BUTLER,BUTLER,PA,16001,7242836666,,,,,,,,,,,,,,,,,4,,,,,
390174,THOMAS JEFFERSON UNIVERSITY HOSPITAL,111 SOUTH 11TH STREET,PHILADELPHIA,PHILADELPHIA,PA,19107,2159556000,96,4,0,98,90,8,2,94,85,12,3,94,84,13,3,93,,7633,1850,24,10/1/2017,9/30/2018
390179,CHESTER COUNTY HOSPITAL,701 EAST MARSHALL STREET,WEST CHESTER,CHESTER,PA,19380,6104315000,96,3,1,98,91,8,1,95,82,16,2,93,85,13,2,94,2,1218,331,27,10/1/2017,9/30/2018
390180,CROZER CHESTER MEDICAL CENTER,ONE MEDICAL CENTER BOULEVARD,UPLAND,DELAWARE,PA,19013,6104472000,,,,,,,,,,,,,,,,,4,,,,,
390185,LEHIGH VALLEY HOSPITAL - HAZLETON,700 EAST BROAD STREET,HAZLETON,LUZERNE,PA,18201,5705014000,,,,,,,,,,,,,,,,,4,,,,,
390195,MAIN LINE HOSPITAL LANKENAU,100 LANCASTER AVE,WYNNEWOOD,MONTGOMERY,PA,19096,6106452000,,,,,,,,,,,,,,,,,4,,,,,
390201,LEHIGH VALLEY HOSPITAL - POCONO,206 EAST BROWN STREET,EAST STROUDSBURG,MONROE,PA,18301,5704214000,97,2,1,98,91,7,2,95,85,12,3,94,80,18,2,93,2,839,193,23,10/1/2017,9/30/2018
390217,EXCELA HEALTH - FRICK HOSPITAL,508 SOUTH CHURCH STREET,MOUNT PLEASANT,WESTMORELAND,PA,15666,7245471500,97,3,0,98,90,8,2,94,83,15,2,94,77,20,3,91,,551,207,38,10/1/2017,9/30/2018
390219,EXCELA HEALTH LATROBE HOSPITAL,ONE MELLON WAY,LATROBE,WESTMORELAND,PA,15650,7245371000,98,2,0,99,92,7,1,96,89,10,1,95,85,13,2,94,,1288,525,41,10/1/2017,9/30/2018
390222,RIDDLE MEMORIAL HOSPITAL,1068 WEST BALTIMORE PIKE,MEDIA,DELAWARE,PA,19063,6105669400,,,,,,,,,,,,,,,,,4,,,,,
390223,PENN PRESBYTERIAN MEDICAL CENTER,51 NORTH 39TH STREET,PHILADELPHIA,PHILADELPHIA,PA,19104,2156628000,96,3,1,98,93,5,2,95,88,10,2,95,90,8,2,96,2,1155,273,24,10/1/2017,9/30/2018
390226,PENNSYLVANIA HOSPITAL,800 SPRUCE STREET,PHILADELPHIA,PHILADELPHIA,PA,19107,2158293000,96,4,0,98,91,7,2,94,85,12,3,94,84,14,2,94,2,1725,381,22,10/1/2017,9/30/2018
390231,ABINGTON MEMORIAL HOSPITAL,1200 OLD YORK ROAD,ABINGTON,MONTGOMERY,PA,19001,2154812000,,,,,,,,,,,,,,,,,4,,,,,
390268,MOUNT NITTANY MEDICAL CENTER,1800 EAST PARK AVE,STATE COLLEGE,CENTRE,PA,16803,8142317000,98,2,0,99,91,8,1,95,86,12,2,94,83,16,1,94,,4023,1391,35,10/1/2017,9/30/2018
390312,EASTERN REGIONAL MEDICAL CENTER,1331 EAST WYOMING AVENUE,PHILADELPHIA,PHILADELPHIA,PA,19124,2157446728,,,,,,,,,,,,,,,,,4,,,,,
390316,SURGICAL INSTITUTE OF READING,2752 CENTURY BOULEVARD,WYOMISSING,BERKS,PA,19610,7179999999,96,4,0,98,91,7,2,95,87,9,4,94,87,12,1,95,,1240,494,40,10/1/2017,9/30/2018
390322,ROTHMAN ORTHOPAEDIC SPECIALTY HOSPITAL,3300 TILLMAN DRIVE,BENSALEM,BUCKS,PA,19020,2152447400,99,1,0,99,93,6,1,96,92,7,1,96,91,8,1,97,2,2115,747,35,10/1/2017,9/30/2018
390329,EINSTEIN MEDICAL CENTER MONTGOMERY,559 WEST GERMANTOWN PIKE,EAST NORRITON,MONTGOMERY,PA,19403,4846621000,,,,,,,,,,,,,,,,,4,,,,,
391301,UPMC SUSQUEHANNA MUNCY,215 EAST WATER STREET,MUNCY,LYCOMING,PA,17756,5705468282,,,,,,,,,,,,,,,,,4,,,,,
391312,PENN HIGHLANDS BROOKVILLE,100 HOSPITAL ROAD,BROOKVILLE,JEFFERSON,PA,15825,8148492312,,,,,,,,,,,,,,,,,4,,,,,
391315,PENN HIGHLANDS ELK,763 JOHNSONBURG ROAD,SAINT MARYS,ELK,PA,15857,8147888000,,,,,,,,,,,,,,,,,4,,,,,
410004,ROGER WILLIAMS MEDICAL CENTER,825 CHALKSTONE AVENUE,PROVIDENCE,PROVIDENCE,RI,2908,4014562025,,,,,,,,,,,,,,,,,4,,,,,
410005,OUR LADY OF FATIMA HOSPITAL,200 HIGH SERVICE AVENUE,NORTH PROVIDENCE,PROVIDENCE,RI,2904,4014563000,,,,,,,,,,,,,,,,,4,,,,,
410006,NEWPORT HOSPITAL,FRIENDSHIP STREET,NEWPORT,NEWPORT,RI,2840,4018466400,98,2,0,99,90,7,3,93,83,15,2,93,80,18,2,93,2,897,305,34,10/1/2017,9/30/2018
410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,PROVIDENCE,RI,2903,4014444000,96,4,0,98,90,7,3,93,85,12,3,93,83,15,2,94,2,2091,616,29,10/1/2017,9/30/2018
410008,SOUTH COUNTY HOSPITAL INC,100 KENYON AVE,WAKEFIELD,WASHINGTON,RI,2879,4017828020,98,2,0,99,89,8,3,93,88,10,2,95,89,9,2,95,,1188,394,34,10/1/2017,9/30/2018
410012,THE MIRIAM HOSPITAL,164 SUMMIT AVENUE,PROVIDENCE,PROVIDENCE,RI,2906,4017932500,97,2,1,98,90,8,2,94,89,8,3,95,91,7,2,96,2,1633,575,35,10/1/2017,9/30/2018
420004,MUSC MEDICAL CENTER,169 ASHLEY AVE,CHARLESTON,CHARLESTON,SC,29425,8437922300,97,3,0,98,93,6,1,96,88,10,2,94,89,9,2,95,,2501,699,28,10/1/2017,9/30/2018
420007,SPARTANBURG MEDICAL CENTER,101 E WOOD ST,SPARTANBURG,SPARTANBURG,SC,29303,8645606554,,,,,,,,,,,,,,,,,4,,,,,
420020,TIDELANDS HEALTH,606 BLACK RIVER RD DRAWER 1718,GEORGETOWN,GEORGETOWN,SC,29440,8435277000,96,4,0,98,90,8,2,94,85,12,3,94,84,14,2,94,,2370,642,27,10/1/2017,9/30/2018
420027,ANMED HEALTH,800 N FANT ST,ANDERSON,ANDERSON,SC,29621,8645122830,,,,,,,,,,,,,,,,,4,,,,,
420053,NEWBERRY COUNTY MEMORIAL HOSPITAL,2669 KINARD ST,NEWBERRY,NEWBERRY,SC,29108,8034057145,97,3,0,99,94,5,1,97,87,13,0,95,79,20,1,92,,511,184,36,10/1/2017,9/30/2018
420066,LAKE CITY COMMUNITY HOSPITAL,258 N RON MCNAIR BLVD,LAKE CITY,FLORENCE,SC,29560,8433742036,96,4,0,98,94,6,0,97,80,16,4,92,67,31,2,88,,538,150,28,10/1/2017,9/30/2018
420071,SELF REGIONAL HEALTHCARE,1325 SPRING STREET,GREENWOOD,GREENWOOD,SC,29646,8642274111,96,3,1,98,90,8,2,94,79,19,2,92,75,22,3,90,,2197,431,22,10/1/2017,9/30/2018
420072,HAMPTON REGIONAL MEDICAL CENTER,595 WEST CAROLINA AVENUE,VARNVILLE,HAMPTON,SC,29944,8039432771,94,5,1,97,89,8,3,93,83,14,3,94,81,14,5,91,,628,139,23,10/1/2017,9/30/2018
420082,AIKEN REGIONAL MEDICAL CENTER,302 UNIVERSITY PARKWAY,AIKEN,AIKEN,SC,29801,8036415900,94,5,1,96,88,10,2,93,75,21,4,91,72,24,4,88,,918,244,27,10/1/2017,9/30/2018
420098,TIDELANDS WACCAMAW COMMUNITY HOSPITAL,4070 HIGHWAY 17 BYPASS PO DRAWER 3350,MURRELLS INLET,HORRY,SC,29576,8436521000,96,3,1,97,90,8,2,94,83,14,3,93,82,16,2,93,,1760,584,33,10/1/2017,9/30/2018
420103,PELHAM MEDICAL CENTER,250 WESTMORELAND ROAD,GREER,GREENVILLE,SC,29651,8645606554,,,,,,,,,,,,,,,,,4,,,,,
430005,"PRAIRIE LAKES HEALTHCARE SYSTEM, INC",401 9TH AVENUE NW,WATERTOWN,CODINGTON,SD,57201,6058827000,,,,,,,,,,,,,,,,,4,,,,,
430008,BROOKINGS HEALTH SYSTEM,300 22ND AVE,BROOKINGS,BROOKINGS,SD,57006,6056969000,,,,,,,,,,,,,,,,,4,,,,,
430048,REGIONAL HEALTH SPEARFISH HOSPITAL,1440 N MAIN ST,SPEARFISH,LAWRENCE,SD,57783,6056444000,,,,,,,,,,,,,,,,,4,,,,,
430077,REGIONAL HEALTH RAPID CITY HOSPITAL,353 FAIRMONT BLVD,RAPID CITY,PENNINGTON,SD,57701,6057551000,,,,,,,,,,,,,,,,,4,,,,,
430089,DUNES SURGICAL HOSPITAL,600 N SIOUX POINT ROAD,DAKOTA DUNES,UNION,SD,57049,6052323332,97,3,0,98,91,8,1,95,88,10,2,95,86,13,1,95,,3136,1215,40,10/1/2017,9/30/2018
430095,AVERA HEART HOSPITAL OF SOUTH DAKOTA,4500 W 69TH ST,SIOUX FALLS,LINCOLN,SD,57108,6059777000,98,2,0,99,87,11,2,92,90,9,1,95,92,7,1,97,,647,349,54,10/1/2017,9/30/2018
431320,REGIONAL HEALTH LEAD-DEADWOOD HOSPITAL,61 CHARLES STREET,DEADWOOD,LAWRENCE,SD,57732,6057226101,,,,,,,,,,,,,,,,,4,,,,,
431321,REGIONAL HEALTH STURGIS HOSPITAL,2140 JUNCTION AVE,STURGIS,MEADE,SD,57785,6057202400,,,,,,,,,,,,,,,,,4,,,,,
440010,WAYNE MEDICAL CENTER,103 J V MANGUBAT DR,WAYNESBORO,WAYNE,TN,38485,9317225411,98,2,0,99,94,5,1,96,84,12,4,93,90,8,2,95,3,189,76,40,10/1/2017,9/30/2018
440015,UNIVERSITY OF TN MEDICAL CENTER,1924 ALCOA HIGHWAY,KNOXVILLE,KNOX,TN,37920,8655449000,97,3,0,99,94,5,1,97,90,8,2,95,91,7,2,96,,4902,1387,28,10/1/2017,9/30/2018
440016,BAPTIST MEMORIAL HOSPITAL - CARROLL COUNTY,631 RB WILSON DR,HUNTINGDON,CARROLL,TN,38344,7319864461,98,2,0,99,92,6,2,95,84,13,3,94,87,12,1,95,3,271,72,27,10/1/2017,9/30/2018
440018,SYCAMORE SHOALS HOSPITAL,1501 WEST ELK AVENUE,ELIZABETHTON,CARTER,TN,37643,4235421300,95,4,1,97,92,7,1,96,84,14,2,94,85,13,2,94,,1544,441,29,10/1/2017,9/30/2018
440039,VANDERBILT UNIVERSITY MEDICAL CENTER,1211 MEDICAL CENTER DRIVE,NASHVILLE,DAVIDSON,TN,37232,6153223454,96,3,1,98,93,6,1,96,87,10,3,94,88,10,2,95,,17351,4337,25,10/1/2017,9/30/2018
440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,SHELBY,TN,38120,9012265000,97,2,1,98,92,6,2,95,90,7,3,95,87,11,2,94,,7734,1745,23,10/1/2017,9/30/2018
440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,SHELBY,TN,38104,9015168274,96,3,1,98,91,7,2,95,86,12,2,94,84,13,3,93,,5626,1289,23,10/1/2017,9/30/2018
440059,COOKEVILLE REGIONAL MEDICAL CENTER,1 MEDICAL CENTER BOULEVARD,COOKEVILLE,PUTNAM,TN,38501,9317832000,,,,,,,,,,,,,,,,,4,,,,,
440063,JOHNSON CITY MEDICAL CENTER,400 N STATE OF FRANKLIN RD,JOHNSON CITY,WASHINGTON,TN,37604,4234316111,96,3,1,98,90,8,2,94,80,17,3,92,76,21,3,90,,2189,542,25,10/1/2017,9/30/2018
440073,MAURY REGIONAL HOSPITAL,1224 TROTWOOD AVE,COLUMBIA,MAURY,TN,38401,9313811111,98,2,0,99,92,6,2,95,86,12,2,95,86,12,2,95,,2603,781,30,10/1/2017,9/30/2018
440130,BAPTIST MEMORIAL HOSPITAL UNION CITY,1201 BISHOP ST,UNION CITY,OBION,TN,38261,7318852410,97,3,0,99,93,6,1,96,87,12,1,95,84,15,1,94,,1425,378,27,10/1/2017,9/30/2018
440131,BAPTIST MEMORIAL HOSPITAL TIPTON,1995 HIGHWAY 51 S,COVINGTON,TIPTON,TN,38019,9014762621,97,3,0,98,92,6,2,96,86,13,1,95,82,17,1,94,,869,124,14,10/1/2017,9/30/2018
440176,INDIAN PATH COMMUNITY HOSPITAL,2000 BROOKSIDE DR,KINGSPORT,SULLIVAN,TN,37660,4234311941,98,2,0,99,92,7,1,96,87,12,1,94,88,11,1,96,,1930,568,29,10/1/2017,9/30/2018
440184,FRANKLIN WOODS COMMUNITY HOSPITAL,300 MED TECH PARKWAY,JOHNSON CITY,WASHINGTON,TN,37604,4233021120,96,4,0,98,90,8,2,94,90,8,2,95,89,9,2,95,,2469,676,27,10/1/2017,9/30/2018
441309,MARSHALL MEDICAL CENTER,1080 NORTH ELLINGTON PARKWAY,LEWISBURG,MARSHALL,TN,37091,9313596276,95,5,0,97,89,8,3,93,81,15,4,92,84,14,2,93,3,265,94,35,10/1/2017,9/30/2018
450007,PETERSON REGIONAL MEDICAL CENTER,551 HILL COUNTRY DRIVE,KERRVILLE,KERR,TX,78028,8308964200,98,2,0,99,94,5,1,96,92,5,3,96,90,9,1,96,,1110,438,39,10/1/2017,9/30/2018
450010,UNITED REGIONAL HEALTH CARE SYSTEM,1600 11TH STREET,WICHITA FALLS,WICHITA,TX,76301,9407643055,,,,,,,,,,,,,,,,,4,,,,,
450032,GOOD SHEPHERD MEDICAL CENTER MARSHALL,811 S WASHINGTON,MARSHALL,HARRISON,TX,75670,9039276712,97,3,0,98,91,7,2,95,85,13,2,94,82,17,1,93,,3287,837,27,10/1/2017,9/30/2018
450034,CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH,2830 CALDER AVENUE,BEAUMONT,JEFFERSON,TX,77702,4098927171,97,3,0,98,94,5,1,96,87,11,2,95,85,13,2,94,,1869,478,26,10/1/2017,9/30/2018
450035,ST JOSEPH MEDICAL CENTER,1401 ST. JOSEPH PARKWAY,HOUSTON,HARRIS,TX,77002,7137571000,,,,,,,,,,,,,,,,,4,,,,,
450039,JPS HEALTH NETWORK,1500 S MAIN ST,FORT WORTH,TARRANT,TX,76104,8179213431,95,4,1,97,91,7,2,95,86,11,3,94,88,11,1,96,,4238,729,18,10/1/2017,9/30/2018
450040,COVENANT MEDICAL CENTER,3615 19TH STREET,LUBBOCK,LUBBOCK,TX,79410,8067256000,,,,,,,,,,,,,,,,,4,,,,,
450044,UT SOUTHWESTERN UNIVERSITY HOSPITAL - WILLIAM P. CLEMENTS JR.,6201 HARRY HINES BLVD,DALLAS,DALLAS,TX,75390,2146335555,,,,,,,,,,,,,,,,,4,,,,,
450046,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,600 ELIZABETH STREET,CORPUS CHRISTI,NUECES,TX,78404,3619024103,95,4,1,97,90,8,2,94,84,14,2,94,83,14,3,93,,1440,274,19,10/1/2017,9/30/2018
450064,TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,800 W RANDOL MILL RD,ARLINGTON,TARRANT,TX,76012,8175486100,97,3,0,98,91,7,2,94,88,10,2,95,85,12,3,93,,2551,551,22,10/1/2017,9/30/2018
450080,TITUS REGIONAL MEDICAL CENTER,2001 N JEFFERSON,MOUNT PLEASANT,TITUS,TX,75455,9035776000,97,3,0,98,92,7,1,95,80,17,3,93,74,23,3,90,,1138,239,21,10/1/2017,9/30/2018
450876,LUBBOCK HEART HOSPITAL LP,4810 NORTH LOOP 289,LUBBOCK,LUBBOCK,TX,79416,8066877777,,,,,,,,,,,,,,,,,4,,,,,
450082,CHRISTUS SPOHN HOSPITAL BEEVILLE,1500 E HOUSTON HWY,BEEVILLE,BEE,TX,78102,3613542000,90,5,5,93,83,15,2,91,71,22,7,88,70,23,7,86,3,99,20,21,10/1/2017,9/30/2018
450090,NORTH TEXAS MEDICAL CENTER,1900 HOSPITAL BLVD,GAINESVILLE,COOKE,TX,76240,9406128600,98,2,0,99,94,4,2,96,86,11,3,94,73,24,3,89,,1354,392,29,10/1/2017,9/30/2018
450092,FORT DUNCAN MEDICAL CENTER,3333 N FOSTER MALDONADO BLVD,EAGLE PASS,MAVERICK,TX,78852,8307735321,93,6,1,96,89,8,3,93,77,19,4,91,73,25,2,90,,1720,247,14,10/1/2017,9/30/2018
450102,CHRISTUS MOTHER FRANCES HOSPITAL,800 EAST DAWSON,TYLER,SMITH,TX,75701,9035938441,,,,,,,,,,,,,,,,,4,,,,,
450104,GUADALUPE REGIONAL MEDICAL CENTER,1215 E COURT ST,SEGUIN,GUADALUPE,TX,78155,8303792411,97,3,0,98,90,8,2,94,86,12,2,94,80,19,1,93,,840,219,28,10/1/2017,9/30/2018
450119,SOUTH TEXAS HEALTH SYSTEM,1102 W TRENTON ROAD,EDINBURG,HIDALGO,TX,78539,9566324000,94,5,1,97,88,9,3,93,82,14,4,93,82,15,3,93,,3334,599,18,10/1/2017,9/30/2018
450130,NIX HEALTH CARE SYSTEM,"414 NAVARRO, SUITE 600",SAN ANTONIO,BEXAR,TX,78205,2102712188,,,,,,,,,,,,,,,,,4,,,,,
450133,MIDLAND MEMORIAL HOSPITAL,400 ROSALIND REDFERN GROVER PARKWAY,MIDLAND,MIDLAND,TX,79701,4326851111,97,3,0,98,91,7,2,94,75,22,3,91,74,24,2,90,,2842,498,18,10/1/2017,9/30/2018
450135,TEXAS HEALTH HARRIS METHODIST HOSPITAL FORT WORTH,1301 PENNSYLVANIA AVENUE,FORT WORTH,TARRANT,TX,76104,8172502100,96,4,0,98,91,8,1,95,87,11,2,95,86,12,2,94,,5317,1119,22,10/1/2017,9/30/2018
450144,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,720 HOSPITAL DRIVE,ANDREWS,ANDREWS,TX,79714,4325232200,94,4,2,96,93,4,3,95,84,13,3,94,84,14,2,94,2;3,381,48,13,10/1/2017,9/30/2018
450148,TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE,201 WALLS DRIVE,CLEBURNE,JOHNSON,TX,76033,8176412551,99,1,0,100,93,6,1,96,86,12,2,94,83,13,4,92,,884,163,19,10/1/2017,9/30/2018
450154,VAL VERDE REGIONAL MEDICAL CENTER,801 BEDELL AVE,DEL RIO,VAL VERDE,TX,78840,8307758566,96,3,1,98,93,5,2,96,86,11,3,94,78,19,3,92,,499,102,22,10/1/2017,9/30/2018
450163,CHRISTUS SPOHN HOSPITAL KLEBERG,1311 EAST GENERAL CAVAZOS BLVD,KINGSVILLE,KLEBERG,TX,78363,3615951661,98,2,0,99,96,3,1,98,89,10,1,95,80,18,2,92,,486,128,26,10/1/2017,9/30/2018
450200,WADLEY REGIONAL MEDICAL CENTER,1000 PINE STREET,TEXARKANA,BOWIE,TX,75501,9037988000,,,,,,,,,,,,,,,,,4,,,,,
450209,NORTHWEST TEXAS HOSPITAL,1501 S COULTER ST,AMARILLO,POTTER,TX,79106,8063541110,96,4,0,98,92,6,2,95,81,16,3,93,76,22,2,91,,1112,242,22,10/1/2017,9/30/2018
450213,UNIVERSITY HEALTH SYSTEM,4502 MEDICAL DR,SAN ANTONIO,BEXAR,TX,78229,2103582637,95,4,1,97,91,7,2,94,88,9,3,95,90,8,2,96,,5037,1193,24,10/1/2017,9/30/2018
450235,MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,GONZALES,GONZALES,TX,78629,8306727581,,,,,,,,,,,,,,,,,4,,,,,
450236,CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS,115 AIRPORT RD,SULPHUR SPRINGS,HOPKINS,TX,75482,9038857671,,,,,,,,,,,,,,,,,4,,,,,
450237,CHRISTUS SANTA ROSA MEDICAL CENTER,2827 BABCOCK ROAD,SAN ANTONIO,BEXAR,TX,78229,2107043342,96,3,1,98,92,7,1,95,86,11,3,94,85,13,2,94,,2400,614,26,10/1/2017,9/30/2018
450271,WISE REGIONAL HEALTH SYSTEM,609 MEDICAL CENTER DRIVE,DECATUR,WISE,TX,76234,9406275921,,,,,,,,,,,,,,,,,4,,,,,
450289,HARRIS HEALTH SYSTEM,2525 HOLLY HALL,HOUSTON,HARRIS,TX,77054,7135666417,,,,,,,,,,,,,,,,,4,,,,,
450292,TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,850 ED HALL,KAUFMAN,KAUFMAN,TX,75142,9729327200,98,2,0,99,91,7,2,95,82,14,4,92,78,18,4,90,,607,155,26,10/1/2017,9/30/2018
450324,TEXOMA MEDICAL CENTER,5016 S US HIGHWAY 75,DENISON,GRAYSON,TX,75020,9034164000,96,3,1,98,90,7,3,94,84,13,3,93,84,14,2,93,,938,258,28,10/1/2017,9/30/2018
450351,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL,411 N BELKNAP ST,STEPHENVILLE,ERATH,TX,76401,2549651500,98,2,0,99,95,4,1,97,89,9,2,95,86,12,2,94,,1586,516,33,10/1/2017,9/30/2018
450352,HUNT REGIONAL MEDICAL CENTER,4215 JOE RAMSEY BLVD,GREENVILLE,HUNT,TX,75401,9034085000,,,,,,,,,,,,,,,,,4,,,,,
450411,EASTLAND MEMORIAL HOSPITAL,304 S DAUGHERTY,EASTLAND,EASTLAND,TX,76448,2546292601,96,3,1,98,89,8,3,93,79,18,3,92,81,16,3,93,,495,164,34,10/1/2017,9/30/2018
450419,TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE,108 DENVER TRAIL,AZLE,TARRANT,TX,76020,8174448700,98,2,0,99,95,4,1,97,86,11,3,94,81,17,2,93,,642,198,31,10/1/2017,9/30/2018
450422,BAYLOR MEDICAL CENTER AT UPTOWN,2727 EAST LEMMON AVENUE BUILDING I,DALLAS,DALLAS,TX,75204,2144433000,97,2,1,98,88,9,3,93,87,9,4,94,87,11,2,95,,1091,295,27,10/1/2017,9/30/2018
450451,GLEN ROSE MEDICAL CENTER,1021 HOLDEN STREET,GLEN ROSE,SOMERVELL,TX,76043,2548972215,,,,,,,,,,,,,,,,,4,,,,,
450462,TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS,8200 WALNUT HILL LANE,DALLAS,DALLAS,TX,75231,2143456789,95,4,1,97,87,10,3,92,86,12,2,94,86,13,1,95,,2339,539,25,10/1/2017,9/30/2018
450469,WILSON N JONES REGIONAL MEDICAL CENTER,500 N HIGHLAND AVENUE,SHERMAN,GRAYSON,TX,75091,9038704611,95,4,1,97,90,8,2,94,81,15,4,92,75,21,4,90,,909,197,22,10/1/2017,9/30/2018
450489,MEDICAL ARTS HOSPITAL,2200 N BRYAN AVE,LAMESA,DAWSON,TX,79331,8068722183,,,,,,,,,,,,,,,,,4,,,,,
450518,THE MEDICAL CENTER OF SOUTHEAST TEXAS,2555 JIMMY JOHNSON BLVD,PORT ARTHUR,JEFFERSON,TX,77640,4098535900,,,,,,,,,,,,,,,,,4,,,,,
450539,COVENANT HOSPITAL PLAINVIEW,2601 DIMMITT RD,PLAINVIEW,HALE,TX,79072,8062965531,,,,,,,,,,,,,,,,,4,,,,,
450571,SHANNON MEDICAL CENTER,120 EAST HARRIS AVENUE,SAN ANGELO,TOM GREEN,TX,76903,3256536741,97,2,1,98,95,4,1,97,88,10,2,95,88,11,1,96,2,866,253,29,10/1/2017,9/30/2018
450584,WILBARGER GENERAL HOSPITAL,920 HILLCREST DR,VERNON,WILBARGER,TX,76384,9405529351,96,3,1,98,94,5,1,96,82,15,3,93,73,25,2,90,3,320,93,29,10/1/2017,9/30/2018
450597,CUERO REGIONAL HOSPITAL,2550 N ESPLANADE,CUERO,DE WITT,TX,77954,3612756191,96,4,0,98,93,6,1,96,79,17,4,92,78,21,1,92,,746,268,36,10/1/2017,9/30/2018
450639,TEXAS HEALTH HARRIS METHODIST HURST-EULESS-BEDFORD,1600 HOSPITAL PARKWAY,BEDFORD,TARRANT,TX,76022,8178484000,98,2,0,99,92,6,2,95,89,10,1,95,88,10,2,95,,2061,477,24,10/1/2017,9/30/2018
450643,DOCTORS HOSPITAL OF LAREDO,10700 MCPHERSON ROAD,LAREDO,WEBB,TX,78041,9565232000,94,5,1,97,91,6,3,94,86,11,3,94,87,11,2,94,,1581,269,17,10/1/2017,9/30/2018
450661,ODESSA REGIONAL MEDICAL CENTER,520 E 6TH STREET,ODESSA,ECTOR,TX,79761,4325828340,,,,,,,,,,,,,,,,,4,,,,,
450678,BAYLOR SCOTT & WHITE MEDICAL CENTER-WHITE ROCK,9440 POPPY DR,DALLAS,DALLAS,TX,75218,2143246100,,,,,,,,,,,,,,,,,4,,,,,
450686,UNIVERSITY MEDICAL CENTER,602 INDIANA AVENUE,LUBBOCK,LUBBOCK,TX,79415,8067758200,98,2,0,99,93,6,1,96,90,9,1,96,88,10,2,95,,1749,371,21,10/1/2017,9/30/2018
450697,SOUTHWEST GENERAL HOSPITAL,7400 BARLITE BLVD,SAN ANTONIO,BEXAR,TX,78224,2109212000,,,,,,,,,,,,,,,,,4,,,,,
450743,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON,3000 N I-35,DENTON,DENTON,TX,76201,9408987000,98,2,0,99,93,5,2,96,90,9,1,95,88,11,1,95,,2052,423,21,10/1/2017,9/30/2018
450755,COVENANT HOSPITAL LEVELLAND,1900 COLLEGE AVE,LEVELLAND,HOCKLEY,TX,79336,8068944963,,,,,,,,,,,,,,,,,4,,,,,
450766,U.T. SOUTHWESTERN UNIVERSITY HOSPITAL - ZALE LIPSHY,5151 HARRY HINES BLVD,DALLAS,DALLAS,TX,75390,2148793758,,,,,,,,,,,,,,,,,4,,,,,
450771,TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,6200 W PARKER RD,PLANO,COLLIN,TX,75093,9729818000,97,2,1,98,90,8,2,94,86,11,3,94,86,11,3,94,,2495,576,24,10/1/2017,9/30/2018
450774,TOPS SURGICAL SPECIALTY HOSPITAL,17080 RED OAK DRIVE,HOUSTON,HARRIS,TX,77090,2815392900,97,2,1,98,93,6,1,96,89,10,1,96,90,8,2,96,,1356,387,29,10/1/2017,9/30/2018
450779,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F,6100 HARRIS PKWY,FORT WORTH,TARRANT,TX,76132,8174335000,98,2,0,99,93,6,1,96,91,8,1,96,90,9,1,96,,2730,648,24,10/1/2017,9/30/2018
